Name,Labelbox category,Supervisely Category,Labelbox Object Title,Labelbox Title or Answer Text,Supervisely ClassTitle or Tag,Supervisely Values,Checkbox for follow-up,Assigned to,Table 6
"""Chapel (Small, with tower)""-""objects"" -> ""classifications"" -> ""answer"" -> ""title""-""""""Christian religious buildings"""" """"objects"""" -> """"title""""""===>""""""Chapel (small, with tower)"""" """"objects"""" -> """"tags"""" -> """"value""""""","""objects"" -> ""classifications"" -> ""answer"" -> ""title""","""objects"" -> ""tags"" -> ""value""","""""""Christian religious buildings"""" """"objects"""" -> """"title""""""","""Chapel (Small, with tower)""","""""""Chapel (small, with tower)"""" """"objects"""" -> """"tags"""" -> """"value""""""","""Chapel (small, with tower)""",,Samy Boutouis,
"""Hermitage (Very small, no tower)""-""objects"" -> ""classifications"" -> ""answer"" -> ""title""-""""""Christian religious buildings"""" """"objects"""" -> """"title""""""===>""""""Hermitage (Very small, no tower)"""" """"objects"""" -> """"tags"""" -> """"value""""""","""objects"" -> ""classifications"" -> ""answer"" -> ""title""","""objects"" -> ""tags"" -> ""value""","""""""Christian religious buildings"""" """"objects"""" -> """"title""""""","""Hermitage (Very small, no tower)""","""""""Hermitage (Very small, no tower)"""" """"objects"""" -> """"tags"""" -> """"value""""""","""Hermitage (Very small, no tower)""",,Samy Boutouis,
"""Bell Tower (If separate from a facade or church is occluded)""-""objects"" -> ""classifications"" -> ""answer"" -> ""title""-""""""Christian religious buildings"""" """"objects"""" -> """"title""""""===>""""""Belltower"""" """"objects"""" -> """"tags"""" -> """"value""""""","""objects"" -> ""classifications"" -> ""answer"" -> ""title""","""objects"" -> ""tags"" -> ""value""","""""""Christian religious buildings"""" """"objects"""" -> """"title""""""","""Bell Tower (If separate from a facade or church is occluded)""","""""""Belltower"""" """"objects"""" -> """"tags"""" -> """"value""""""","""Belltower""",,Samy Boutouis,
"""Round tower (Attached to a facade)""-""objects"" -> ""classifications"" -> ""answer"" -> ""title""-""""""Christian religious buildings"""" """"objects"""" -> """"title""""""===>""""""Round tower (Attached to a facade)"""" """"objects"""" -> """"tags"""" -> """"value""""""","""objects"" -> ""classifications"" -> ""answer"" -> ""title""","""objects"" -> ""tags"" -> ""value""","""""""Christian religious buildings"""" """"objects"""" -> """"title""""""","""Round tower (Attached to a facade)""","""""""Round tower (Attached to a facade)"""" """"objects"""" -> """"tags"""" -> """"value""""""","""Round tower (Attached to a facade)""",,Samy Boutouis,
"""Tombstone""-""objects"" -> ""classifications"" -> ""answer"" -> ""title""-""""""Christian religious buildings"""" """"objects"""" -> """"title""""""===>""""""Tombstone"""" """"objects"""" -> """"tags"""" -> """"value""""""","""objects"" -> ""classifications"" -> ""answer"" -> ""title""","""objects"" -> ""tags"" -> ""value""","""""""Christian religious buildings"""" """"objects"""" -> """"title""""""","""Tombstone""","""""""Tombstone"""" """"objects"""" -> """"tags"""" -> """"value""""""","""Tombstone""",,Samy Boutouis,
"""Front Facade, Side Facade or Roof? (Include Crosses on the roofs)""-""objects"" -> ""classifications"" -> ""title""-""""""Christian religious buildings"""" """"objects"""" -> """"title""""""===>""""""* Front Facade, Side Facade, Round, Eave, Top, or Back side?"""" """"objects"""" -> tags"""" -> """"name""""""","""objects"" -> ""classifications"" -> ""title""","""objects"" -> tags"" -> ""name""","""""""Christian religious buildings"""" """"objects"""" -> """"title""""""","""Front Facade, Side Facade or Roof? (Include Crosses on the roofs)""","""""""* Front Facade, Side Facade, Round, Eave, Top, or Back side?"""" """"objects"""" -> tags"""" -> """"name""""""","""* Front Facade, Side Facade, Round, Eave, Top, or Back side?""",,Samy Boutouis,
"""Front Facade""-""objects"" -> ""classifications"" -> ""answer"" -> ""title""-""""""Christian religious buildings"""" """"objects"""" -> """"title""""""===>""""""Front facade"""" """"objects"""" -> """"tags"""" -> """"value""""""","""objects"" -> ""classifications"" -> ""answer"" -> ""title""","""objects"" -> ""tags"" -> ""value""","""""""Christian religious buildings"""" """"objects"""" -> """"title""""""","""Front Facade""","""""""Front facade"""" """"objects"""" -> """"tags"""" -> """"value""""""","""Front facade""",,Samy Boutouis,
"""Side Facade""-""objects"" -> ""classifications"" -> ""answer"" -> ""title""-""""""Christian religious buildings"""" """"objects"""" -> """"title""""""===>""""""Side facade"""" """"objects"""" -> """"tags"""" -> """"value""""""","""objects"" -> ""classifications"" -> ""answer"" -> ""title""","""objects"" -> ""tags"" -> ""value""","""""""Christian religious buildings"""" """"objects"""" -> """"title""""""","""Side Facade""","""""""Side facade"""" """"objects"""" -> """"tags"""" -> """"value""""""","""Side facade""",,Samy Boutouis,
"""Roof front-side""-""objects"" -> ""classifications"" -> ""answer"" -> ""title""-""""""Christian religious buildings"""" """"objects"""" -> """"title""""""===>""""""Roof front"""" """"objects"""" -> """"tags"""" -> """"value""""""","""objects"" -> ""classifications"" -> ""answer"" -> ""title""","""objects"" -> ""tags"" -> ""value""","""""""Christian religious buildings"""" """"objects"""" -> """"title""""""","""Roof front-side""","""""""Roof front"""" """"objects"""" -> """"tags"""" -> """"value""""""","""Roof front""",,Samy Boutouis,
"""Eave (Underside of the roof - usually on the other side of the peak from the traced roof-plane)""-""objects"" -> ""classifications"" -> ""answer"" -> ""title""-""""""Christian religious buildings"""" """"objects"""" -> """"title""""""===>""""""Eave"""" """"objects"""" -> """"tags"""" -> """"value""""""","""objects"" -> ""classifications"" -> ""answer"" -> ""title""","""objects"" -> ""tags"" -> ""value""","""""""Christian religious buildings"""" """"objects"""" -> """"title""""""","""Eave (Underside of the roof - usually on the other side of the peak from the traced roof-plane)""","""""""Eave"""" """"objects"""" -> """"tags"""" -> """"value""""""","""Eave""",,Samy Boutouis,
"""Roof (Left or right of front side)""-""objects"" -> ""classifications"" -> ""answer"" -> ""title""-""""""Christian religious buildings"""" """"objects"""" -> """"title""""""===>""""""Roof side"""" """"objects"""" -> """"tags"""" -> """"value""""""","""objects"" -> ""classifications"" -> ""answer"" -> ""title""","""objects"" -> ""tags"" -> ""value""","""""""Christian religious buildings"""" """"objects"""" -> """"title""""""","""Roof (Left or right of front side)""","""""""Roof side"""" """"objects"""" -> """"tags"""" -> """"value""""""","""Roof side""",,Samy Boutouis,
"""Interior Facade""-""objects"" -> ""classifications"" -> ""answer"" -> ""title""-""""""Christian religious buildings"""" """"objects"""" -> """"title""""""===>""""""Back side"""" """"objects"""" -> """"tags"""" -> """"value""""""","""objects"" -> ""classifications"" -> ""answer"" -> ""title""","""objects"" -> ""tags"" -> ""value""","""""""Christian religious buildings"""" """"objects"""" -> """"title""""""","""Interior Facade""","""""""Back side"""" """"objects"""" -> """"tags"""" -> """"value""""""","""Back side""",,Samy Boutouis,
"""Breteche Front""-""objects"" -> ""classifications"" -> ""answer"" -> ""title""-""""""Christian religious buildings"""" """"objects"""" -> """"title""""""===>""""""Front facade"""" """"objects"""" -> """"tags"""" -> """"value""""""","""objects"" -> ""classifications"" -> ""answer"" -> ""title""","""objects"" -> ""tags"" -> ""value""","""""""Christian religious buildings"""" """"objects"""" -> """"title""""""","""Breteche Front""","""""""Front facade"""" """"objects"""" -> """"tags"""" -> """"value""""""","""Front facade""",,Samy Boutouis,
"""Breteche Side""-""objects"" -> ""classifications"" -> ""answer"" -> ""title""-""""""Christian religious buildings"""" """"objects"""" -> """"title""""""===>""""""Side facade"""" """"objects"""" -> """"tags"""" -> """"value""""""","""objects"" -> ""classifications"" -> ""answer"" -> ""title""","""objects"" -> ""tags"" -> ""value""","""""""Christian religious buildings"""" """"objects"""" -> """"title""""""","""Breteche Side""","""""""Side facade"""" """"objects"""" -> """"tags"""" -> """"value""""""","""Side facade""",,Samy Boutouis,
"""Church facade features""-""objects"" -> ""classifications"" -> ""title""-""""""Christian religious buildings"""" """"objects"""" -> """"title""""""===>","""objects"" -> ""classifications"" -> ""title""",,"""""""Christian religious buildings"""" """"objects"""" -> """"title""""""","""Church facade features""",,,,Samy Boutouis,
"""Door (simple)""-""objects"" -> ""classifications"" -> ""answer"" -> ""title""-""""""Christian religious buildings"""" """"objects"""" -> """"title""""""===>""""""Door (Round-headed)"""" """"objects"""" -> tags"""" -> """"name""""""","""objects"" -> ""classifications"" -> ""answer"" -> ""title""","""objects"" -> tags"" -> ""name""","""""""Christian religious buildings"""" """"objects"""" -> """"title""""""","""Door (simple)""","""""""Door (Round-headed)"""" """"objects"""" -> tags"""" -> """"name""""""","""Door (Round-headed)""",,Samy Boutouis,
"""Window (square)""-""objects"" -> ""classifications"" -> ""answer"" -> ""title""-""""""Christian religious buildings"""" """"objects"""" -> """"title""""""===>""""""Window (Rectangular)"""" """"objects"""" -> tags"""" -> """"name""""""","""objects"" -> ""classifications"" -> ""answer"" -> ""title""","""objects"" -> tags"" -> ""name""","""""""Christian religious buildings"""" """"objects"""" -> """"title""""""","""Window (square)""","""""""Window (Rectangular)"""" """"objects"""" -> tags"""" -> """"name""""""","""Window (Rectangular)""",,Samy Boutouis,
"""Crenelations""-""objects"" -> ""classifications"" -> ""answer"" -> ""title""-""""""Christian religious buildings"""" """"objects"""" -> """"title""""""===>""""""Crenellations"""" """"objects"""" -> tags"""" -> """"name""""""","""objects"" -> ""classifications"" -> ""answer"" -> ""title""","""objects"" -> tags"" -> ""name""","""""""Christian religious buildings"""" """"objects"""" -> """"title""""""","""Crenelations""","""""""Crenellations"""" """"objects"""" -> tags"""" -> """"name""""""","""Crenellations""",,Samy Boutouis,
"""Bell Tower""-""objects"" -> ""classifications"" -> ""answer"" -> ""title""-""""""Christian religious buildings"""" """"objects"""" -> """"title""""""===>""""""Belltower top"""" """"objects"""" -> tags"""" -> """"name""""""","""objects"" -> ""classifications"" -> ""answer"" -> ""title""","""objects"" -> tags"" -> ""name""","""""""Christian religious buildings"""" """"objects"""" -> """"title""""""","""Bell Tower""","""""""Belltower top"""" """"objects"""" -> tags"""" -> """"name""""""","""Belltower top""",,Samy Boutouis,
"""Buttresses""-""objects"" -> ""classifications"" -> ""answer"" -> ""title""-""""""Christian religious buildings"""" """"objects"""" -> """"title""""""===>""""""Buttresses"""" """"objects"""" -> tags"""" -> """"name""""""","""objects"" -> ""classifications"" -> ""answer"" -> ""title""","""objects"" -> tags"" -> ""name""","""""""Christian religious buildings"""" """"objects"""" -> """"title""""""","""Buttresses""","""""""Buttresses"""" """"objects"""" -> tags"""" -> """"name""""""","""Buttresses""",,Samy Boutouis,
"""Window (round)""-""objects"" -> ""classifications"" -> ""answer"" -> ""title""-""""""Christian religious buildings"""" """"objects"""" -> """"title""""""===>""""""Window (Round)"""" """"objects"""" -> tags"""" -> """"name""""""","""objects"" -> ""classifications"" -> ""answer"" -> ""title""","""objects"" -> tags"" -> ""name""","""""""Christian religious buildings"""" """"objects"""" -> """"title""""""","""Window (round)""","""""""Window (Round)"""" """"objects"""" -> tags"""" -> """"name""""""","""Window (Round)""",,Samy Boutouis,
"""Sign or symbol""-""objects"" -> ""classifications"" -> ""answer"" -> ""title""-""""""Christian religious buildings"""" """"objects"""" -> """"title""""""===>""""""Sign or Symbol"""" """"objects"""" -> tags"""" -> """"name""""""","""objects"" -> ""classifications"" -> ""answer"" -> ""title""","""objects"" -> tags"" -> ""name""","""""""Christian religious buildings"""" """"objects"""" -> """"title""""""","""Sign or symbol""","""""""Sign or Symbol"""" """"objects"""" -> tags"""" -> """"name""""""","""Sign or Symbol""",,Samy Boutouis,
"""Door (Fancy Manueline top)""-""objects"" -> ""classifications"" -> ""answer"" -> ""title""-""""""Christian religious buildings"""" """"objects"""" -> """"title""""""===>""""""Door (Fancy Manueline style)"""" """"objects"""" -> tags"""" -> """"name""""""","""objects"" -> ""classifications"" -> ""answer"" -> ""title""","""objects"" -> tags"" -> ""name""","""""""Christian religious buildings"""" """"objects"""" -> """"title""""""","""Door (Fancy Manueline top)""","""""""Door (Fancy Manueline style)"""" """"objects"""" -> tags"""" -> """"name""""""","""Door (Fancy Manueline style)""",,Samy Boutouis,
"""Porch""-""objects"" -> ""classifications"" -> ""answer"" -> ""title""-""""""Christian religious buildings"""" """"objects"""" -> """"title""""""===>""""""Porch"""" """"objects"""" -> tags"""" -> """"name""""""","""objects"" -> ""classifications"" -> ""answer"" -> ""title""","""objects"" -> tags"" -> ""name""","""""""Christian religious buildings"""" """"objects"""" -> """"title""""""","""Porch""","""""""Porch"""" """"objects"""" -> tags"""" -> """"name""""""","""Porch""",,Samy Boutouis,
"""Heraldry""-""objects"" -> ""classifications"" -> ""answer"" -> ""title""-""""""Christian religious buildings"""" """"objects"""" -> """"title""""""===>""""""Heraldry"""" """"objects"""" -> tags"""" -> """"name""""""","""objects"" -> ""classifications"" -> ""answer"" -> ""title""","""objects"" -> tags"" -> ""name""","""""""Christian religious buildings"""" """"objects"""" -> """"title""""""","""Heraldry""","""""""Heraldry"""" """"objects"""" -> tags"""" -> """"name""""""","""Heraldry""",,Samy Boutouis,
"""Complete or partially occluded?""-""objects"" -> ""classifications"" -> ""title""-""""""Christian religious buildings"""" """"objects"""" -> """"title""""""===>""""""* Partially occluded or Complete?"""" """"objects"""" -> tags"""" -> """"name""""""","""objects"" -> ""classifications"" -> ""title""","""objects"" -> tags"" -> ""name""","""""""Christian religious buildings"""" """"objects"""" -> """"title""""""","""Complete or partially occluded?""","""""""* Partially occluded or Complete?"""" """"objects"""" -> tags"""" -> """"name""""""","""* Partially occluded or Complete?""",,Samy Boutouis,
"""Complete""-""objects"" -> ""classifications"" -> ""answer"" -> ""title""-""""""Christian religious buildings"""" """"objects"""" -> """"title""""""===>""""""Complete"""" """"objects"""" -> """"tags"""" -> """"value""""""","""objects"" -> ""classifications"" -> ""answer"" -> ""title""","""objects"" -> ""tags"" -> ""value""","""""""Christian religious buildings"""" """"objects"""" -> """"title""""""","""Complete""","""""""Complete"""" """"objects"""" -> """"tags"""" -> """"value""""""","""Complete""",,Samy Boutouis,
"""Partially Occluded""-""objects"" -> ""classifications"" -> ""answer"" -> ""title""-""""""Christian religious buildings"""" """"objects"""" -> """"title""""""===>""""""Partially Occluded"""" """"objects"""" -> """"tags"""" -> """"value""""""","""objects"" -> ""classifications"" -> ""answer"" -> ""title""","""objects"" -> ""tags"" -> ""value""","""""""Christian religious buildings"""" """"objects"""" -> """"title""""""","""Partially Occluded""","""""""Partially Occluded"""" """"objects"""" -> """"tags"""" -> """"value""""""","""Partially Occluded""",,Samy Boutouis,
"""Coursing, ""blank"" or both?""-""objects"" -> ""classifications"" -> ""title""-""""""Christian religious buildings"""" """"objects"""" -> """"title""""""===>""""""* Coursed, blank or both?"""" """"objects"""" -> tags"""" -> """"name""""""","""objects"" -> ""classifications"" -> ""title""","""objects"" -> tags"" -> ""name""","""""""Christian religious buildings"""" """"objects"""" -> """"title""""""","""Coursing, ""blank"" or both?""","""""""* Coursed, blank or both?"""" """"objects"""" -> tags"""" -> """"name""""""","""* Coursed, blank or both?""",,Samy Boutouis,
"""Coursed""-""objects"" -> ""classifications"" -> ""answer"" -> ""title""-""""""Christian religious buildings"""" """"objects"""" -> """"title""""""===>""""""Coursed"""" """"objects"""" -> """"tags"""" -> """"value""""""","""objects"" -> ""classifications"" -> ""answer"" -> ""title""","""objects"" -> ""tags"" -> ""value""","""""""Christian religious buildings"""" """"objects"""" -> """"title""""""","""Coursed""","""""""Coursed"""" """"objects"""" -> """"tags"""" -> """"value""""""","""Coursed""",,Samy Boutouis,
"""Blank""-""objects"" -> ""classifications"" -> ""answer"" -> ""title""-""""""Christian religious buildings"""" """"objects"""" -> """"title""""""===>""""""Blank"""" """"objects"""" -> """"tags"""" -> """"value""""""","""objects"" -> ""classifications"" -> ""answer"" -> ""title""","""objects"" -> ""tags"" -> ""value""","""""""Christian religious buildings"""" """"objects"""" -> """"title""""""","""Blank""","""""""Blank"""" """"objects"""" -> """"tags"""" -> """"value""""""","""Blank""",,Samy Boutouis,
"""Both""-""objects"" -> ""classifications"" -> ""answer"" -> ""title""-""""""Christian religious buildings"""" """"objects"""" -> """"title""""""===>""""""Both"""" """"objects"""" -> """"tags"""" -> """"value""""""","""objects"" -> ""classifications"" -> ""answer"" -> ""title""","""objects"" -> ""tags"" -> ""value""","""""""Christian religious buildings"""" """"objects"""" -> """"title""""""","""Both""","""""""Both"""" """"objects"""" -> """"tags"""" -> """"value""""""","""Both""",,Samy Boutouis,
"""Ruined or intact?""-""objects"" -> ""classifications"" -> ""title""-""""""Christian religious buildings"""" """"objects"""" -> """"title""""""===>""""""* Ruined or intact?"""" """"objects"""" -> tags"""" -> """"name""""""","""objects"" -> ""classifications"" -> ""title""","""objects"" -> tags"" -> ""name""","""""""Christian religious buildings"""" """"objects"""" -> """"title""""""","""Ruined or intact?""","""""""* Ruined or intact?"""" """"objects"""" -> tags"""" -> """"name""""""","""* Ruined or intact?""",,Samy Boutouis,
"""Ruined""-""objects"" -> ""classifications"" -> ""answer"" -> ""title""-""""""Christian religious buildings"""" """"objects"""" -> """"title""""""===>""""""Ruined"""" """"objects"""" -> """"tags"""" -> """"value""""""","""objects"" -> ""classifications"" -> ""answer"" -> ""title""","""objects"" -> ""tags"" -> ""value""","""""""Christian religious buildings"""" """"objects"""" -> """"title""""""","""Ruined""","""""""Ruined"""" """"objects"""" -> """"tags"""" -> """"value""""""","""Ruined""",,Samy Boutouis,
"""Intact""-""objects"" -> ""classifications"" -> ""answer"" -> ""title""-""""""Christian religious buildings"""" """"objects"""" -> """"title""""""===>""""""Intact"""" """"objects"""" -> """"tags"""" -> """"value""""""","""objects"" -> ""classifications"" -> ""answer"" -> ""title""","""objects"" -> ""tags"" -> ""value""","""""""Christian religious buildings"""" """"objects"""" -> """"title""""""","""Intact""","""""""Intact"""" """"objects"""" -> """"tags"""" -> """"value""""""","""Intact""",,Samy Boutouis,
"""Duarte de Armas (on horseback or off), or his footman?""-""objects"" -> ""classifications"" -> ""title""-""""""people (agents)"""" """"objects"""" -> """"title""""""===>""""""* Person type?"""" """"objects"""" -> tags"""" -> """"name""""""","""objects"" -> ""classifications"" -> ""title""","""objects"" -> tags"" -> ""name""","""""""people (agents)"""" """"objects"""" -> """"title""""""","""Duarte de Armas (on horseback or off), or his footman?""","""""""* Person type?"""" """"objects"""" -> tags"""" -> """"name""""""","""* Person type?""",,Samy Boutouis,
"""Duarte de Armas on horseback""-""objects"" -> ""classifications"" -> ""answer"" -> ""title""-""""""people (agents)"""" """"objects"""" -> """"title""""""===>""""""Duarte de Armas on horseback"""" """"objects"""" -> """"tags"""" -> """"value""""""","""objects"" -> ""classifications"" -> ""answer"" -> ""title""","""objects"" -> ""tags"" -> ""value""","""""""people (agents)"""" """"objects"""" -> """"title""""""","""Duarte de Armas on horseback""","""""""Duarte de Armas on horseback"""" """"objects"""" -> """"tags"""" -> """"value""""""","""Duarte de Armas on horseback""",,Samy Boutouis,
"""Duarte de Armas off his horse""-""objects"" -> ""classifications"" -> ""answer"" -> ""title""-""""""people (agents)"""" """"objects"""" -> """"title""""""===>""""""Duarte de Armas off his horse"""" """"objects"""" -> """"tags"""" -> """"value""""""","""objects"" -> ""classifications"" -> ""answer"" -> ""title""","""objects"" -> ""tags"" -> ""value""","""""""people (agents)"""" """"objects"""" -> """"title""""""","""Duarte de Armas off his horse""","""""""Duarte de Armas off his horse"""" """"objects"""" -> """"tags"""" -> """"value""""""","""Duarte de Armas off his horse""",,Samy Boutouis,
"""Footman""-""objects"" -> ""classifications"" -> ""answer"" -> ""title""-""""""people (agents)"""" """"objects"""" -> """"title""""""===>""""""Footman"""" """"objects"""" -> """"tags"""" -> """"value""""""","""objects"" -> ""classifications"" -> ""answer"" -> ""title""","""objects"" -> ""tags"" -> ""value""","""""""people (agents)"""" """"objects"""" -> """"title""""""","""Footman""","""""""Footman"""" """"objects"""" -> """"tags"""" -> """"value""""""","""Footman""",,Samy Boutouis,
"""Peasant""-""objects"" -> ""classifications"" -> ""answer"" -> ""title""-""""""people (agents)"""" """"objects"""" -> """"title""""""===>""""""Peasant"""" """"objects"""" -> """"tags"""" -> """"value""""""","""objects"" -> ""classifications"" -> ""answer"" -> ""title""","""objects"" -> ""tags"" -> ""value""","""""""people (agents)"""" """"objects"""" -> """"title""""""","""Peasant""","""""""Peasant"""" """"objects"""" -> """"tags"""" -> """"value""""""","""Peasant""",,Samy Boutouis,
"""Hung ""Criminal""""-""objects"" -> ""classifications"" -> ""answer"" -> ""title""-""""""people (agents)"""" """"objects"""" -> """"title""""""===>""""""Hung \""""Criminal\"""""""" """"objects"""" -> """"tags"""" -> """"value""""""","""objects"" -> ""classifications"" -> ""answer"" -> ""title""","""objects"" -> ""tags"" -> ""value""","""""""people (agents)"""" """"objects"""" -> """"title""""""","""Hung ""Criminal""""","""""""Hung \""""Criminal\"""""""" """"objects"""" -> """"tags"""" -> """"value""""""","""Hung \""Criminal\""""",,Samy Boutouis,
"""Rowers""-""objects"" -> ""classifications"" -> ""answer"" -> ""title""-""""""people (agents)"""" """"objects"""" -> """"title""""""===>""""""Rower"""" """"objects"""" -> """"tags"""" -> """"value""""""","""objects"" -> ""classifications"" -> ""answer"" -> ""title""","""objects"" -> ""tags"" -> ""value""","""""""people (agents)"""" """"objects"""" -> """"title""""""","""Rowers""","""""""Rower"""" """"objects"""" -> """"tags"""" -> """"value""""""","""Rower""",,Samy Boutouis,
"""Complete or partially occluded?""-""objects"" -> ""classifications"" -> ""title""-""""""people (agents)"""" """"objects"""" -> """"title""""""===>""""""* Partially occluded or Complete?"""" """"objects"""" -> tags"""" -> """"name""""""","""objects"" -> ""classifications"" -> ""title""","""objects"" -> tags"" -> ""name""","""""""people (agents)"""" """"objects"""" -> """"title""""""","""Complete or partially occluded?""","""""""* Partially occluded or Complete?"""" """"objects"""" -> tags"""" -> """"name""""""","""* Partially occluded or Complete?""",,Samy Boutouis,
"""Complete""-""objects"" -> ""classifications"" -> ""answer"" -> ""title""-""""""people (agents)"""" """"objects"""" -> """"title""""""===>""""""Complete"""" """"objects"""" -> """"tags"""" -> """"value""""""","""objects"" -> ""classifications"" -> ""answer"" -> ""title""","""objects"" -> ""tags"" -> ""value""","""""""people (agents)"""" """"objects"""" -> """"title""""""","""Complete""","""""""Complete"""" """"objects"""" -> """"tags"""" -> """"value""""""","""Complete""",,Samy Boutouis,
"""Partially occluded""-""objects"" -> ""classifications"" -> ""answer"" -> ""title""-""""""people (agents)"""" """"objects"""" -> """"title""""""===>""""""Partially Occluded"""" """"objects"""" -> """"tags"""" -> """"value""""""","""objects"" -> ""classifications"" -> ""answer"" -> ""title""","""objects"" -> ""tags"" -> ""value""","""""""people (agents)"""" """"objects"""" -> """"title""""""","""Partially occluded""","""""""Partially Occluded"""" """"objects"""" -> """"tags"""" -> """"value""""""","""Partially Occluded""",,Samy Boutouis,
"""Ocean, lagoon, pond or river""-""objects"" -> ""classifications"" -> ""title""-""""""bodies of water"""" """"objects"""" -> """"title""""""===>""""""* River, Ocean or Pond?"""" """"objects"""" -> tags"""" -> """"name""""""","""objects"" -> ""classifications"" -> ""title""","""objects"" -> tags"" -> ""name""","""""""bodies of water"""" """"objects"""" -> """"title""""""","""Ocean, lagoon, pond or river""","""""""* River, Ocean or Pond?"""" """"objects"""" -> tags"""" -> """"name""""""","""* River, Ocean or Pond?""",,Samy Boutouis,
"""River""-""objects"" -> ""classifications"" -> ""answer"" -> ""title""-""""""bodies of water"""" """"objects"""" -> """"title""""""===>""""""River"""" """"objects"""" -> """"tags"""" -> """"value""""""","""objects"" -> ""classifications"" -> ""answer"" -> ""title""","""objects"" -> ""tags"" -> ""value""","""""""bodies of water"""" """"objects"""" -> """"title""""""","""River""","""""""River"""" """"objects"""" -> """"tags"""" -> """"value""""""","""River""",,Samy Boutouis,
"""Ocean""-""objects"" -> ""classifications"" -> ""answer"" -> ""title""-""""""bodies of water"""" """"objects"""" -> """"title""""""===>""""""Ocean"""" """"objects"""" -> """"tags"""" -> """"value""""""","""objects"" -> ""classifications"" -> ""answer"" -> ""title""","""objects"" -> ""tags"" -> ""value""","""""""bodies of water"""" """"objects"""" -> """"title""""""","""Ocean""","""""""Ocean"""" """"objects"""" -> """"tags"""" -> """"value""""""","""Ocean""",,Samy Boutouis,
"""Pond or flooded area""-""objects"" -> ""classifications"" -> ""answer"" -> ""title""-""""""bodies of water"""" """"objects"""" -> """"title""""""===>""""""Pond"""" """"objects"""" -> """"tags"""" -> """"value""""""","""objects"" -> ""classifications"" -> ""answer"" -> ""title""","""objects"" -> ""tags"" -> ""value""","""""""bodies of water"""" """"objects"""" -> """"title""""""","""Pond or flooded area""","""""""Pond"""" """"objects"""" -> """"tags"""" -> """"value""""""","""Pond""",,Samy Boutouis,
"""Type""-""objects"" -> ""classifications"" -> ""title""-""""""bridge (built works)"""" """"objects"""" -> """"title""""""===>""""""* Drawbridge or river bridge?"""" """"objects"""" -> tags"""" -> """"name""""""","""objects"" -> ""classifications"" -> ""title""","""objects"" -> tags"" -> ""name""","""""""bridge (built works)"""" """"objects"""" -> """"title""""""","""Type""","""""""* Drawbridge or river bridge?"""" """"objects"""" -> tags"""" -> """"name""""""","""* Drawbridge or river bridge?""",,Samy Boutouis,
"""Drawbridge""-""objects"" -> ""classifications"" -> ""answer"" -> ""title""-""""""bridge (built works)"""" """"objects"""" -> """"title""""""===>""""""Drawbridge"""" """"objects"""" -> """"tags"""" -> """"value""""""","""objects"" -> ""classifications"" -> ""answer"" -> ""title""","""objects"" -> ""tags"" -> ""value""","""""""bridge (built works)"""" """"objects"""" -> """"title""""""","""Drawbridge""","""""""Drawbridge"""" """"objects"""" -> """"tags"""" -> """"value""""""","""Drawbridge""",,Samy Boutouis,
"""River bridge""-""objects"" -> ""classifications"" -> ""answer"" -> ""title""-""""""bridge (built works)"""" """"objects"""" -> """"title""""""===>""""""River bridge"""" """"objects"""" -> """"tags"""" -> """"value""""""","""objects"" -> ""classifications"" -> ""answer"" -> ""title""","""objects"" -> ""tags"" -> ""value""","""""""bridge (built works)"""" """"objects"""" -> """"title""""""","""River bridge""","""""""River bridge"""" """"objects"""" -> """"tags"""" -> """"value""""""","""River bridge""",,Samy Boutouis,
"""Bridge-plane - Is it the top pf the bridge, the side facing the viewer, or the opposite railing?""-""objects"" -> ""classifications"" -> ""title""-""""""bridge (built works)"""" """"objects"""" -> """"title""""""===>""""""* Front Facade, Side Facade, Round, Eave, Top, or Back side?"""" """"objects"""" -> tags"""" -> """"name""""""","""objects"" -> ""classifications"" -> ""title""","""objects"" -> tags"" -> ""name""","""""""bridge (built works)"""" """"objects"""" -> """"title""""""","""Bridge-plane - Is it the top pf the bridge, the side facing the viewer, or the opposite railing?""","""""""* Front Facade, Side Facade, Round, Eave, Top, or Back side?"""" """"objects"""" -> tags"""" -> """"name""""""","""* Front Facade, Side Facade, Round, Eave, Top, or Back side?""",,Samy Boutouis,
"""Front surface""-""objects"" -> ""classifications"" -> ""answer"" -> ""title""-""""""bridge (built works)"""" """"objects"""" -> """"title""""""===>""""""Front facade"""" """"objects"""" -> """"tags"""" -> """"value""""""","""objects"" -> ""classifications"" -> ""answer"" -> ""title""","""objects"" -> ""tags"" -> ""value""","""""""bridge (built works)"""" """"objects"""" -> """"title""""""","""Front surface""","""""""Front facade"""" """"objects"""" -> """"tags"""" -> """"value""""""","""Front facade""",,Samy Boutouis,
"""Top""-""objects"" -> ""classifications"" -> ""answer"" -> ""title""-""""""bridge (built works)"""" """"objects"""" -> """"title""""""===>""""""Top"""" """"objects"""" -> """"tags"""" -> """"value""""""","""objects"" -> ""classifications"" -> ""answer"" -> ""title""","""objects"" -> ""tags"" -> ""value""","""""""bridge (built works)"""" """"objects"""" -> """"title""""""","""Top""","""""""Top"""" """"objects"""" -> """"tags"""" -> """"value""""""","""Top""",,Samy Boutouis,
